分類,項目,說明,優先級,預估單價,數量,預估小計,實際花費,狀態
--總預算--,總預算上限,先填這格再往下分配,,,,,,
整理收納,收納箱,床底/櫃上收納,P1,,,,,未購買
整理收納,衣架/掛衣桿,,P1,,,,,未購買
整理收納,桌面收納架,文具與雜物,P2,,,,,未購買
整理收納,層架/置物架,,P2,,,,,未購買
家具,床墊/床墊套組,見 03-選項比較,P1,,,,,未購買
家具,椅子/椅墊,久坐舒適度,P2,,,,,未購買
家具,小邊桌/床邊架,,P3,,,,,未購買
寢具織品,床包枕套組,,P1,,,,,未購買
寢具織品,棉被/毯子,,P1,,,,,未購買
寢具織品,窗簾,遮光需求見需求盤點,P2,,,,,未購買
寢具織品,地毯/地墊,,P3,,,,,未購買
電器,檯燈,護眼/氛圍,P2,,,,,未購買
電器,延長線,確認宿舍用電規定,P1,,,,,未購買
電器,除濕/風扇等,依宿舍環境,P2,,,,,未購買
裝飾,牆面裝飾,免釘掛法,P3,,,,,未購買
裝飾,燈串/氛圍燈,,P3,,,,,未購買
清潔耗材,清潔用品,深度清潔用,P1,,,,,未購買
清潔耗材,防蟲/除濕劑,,P2,,,,,未購買
其他,運費/雜支,預留約總預算5-10%,P1,,,,,
