優先級,分類,品項,規格/尺寸限制,候選商品/連結,預估價格,數量,購買通路,狀態,備註
P1,修繕工程,客廳窗簾軌更換,窗寬260×高220cm,,,1,,進行中,舊軌已拆除（2026-08-17）；待裝VIDGA
P1,修繕工程,主臥窗簾軌更換,窗寬120×高135cm,,,1,,進行中,舊軌已拆除（2026-08-17）；壁癌處理後再裝VIDGA
P1,修繕工程,沒鋪地板客房窗簾軌更換,窗寬120×高135cm,,,1,,取消,2026-08-17確認軌道結構正常保留；只買窗簾＋窗簾鈎
P1,修繕工程,主臥壁癌處理,窗簾周邊；對外牆,,,1,,未處理,先處理再裝窗簾
P1,修繕工程,主臥浴室透氣門更換,門尺寸待量,,3000-6000,1,,未處理,原記門有破損；2026-08-17確認換透氣門；詳10-主臥浴室規劃.md
P1,修繕工程,主臥浴室排風扇更換,開口尺寸與排風形式待確認,,1500-3000,1,,未處理,含工；詳10-主臥浴室規劃.md
P1,修繕工程,客衛浴缸更換,先確認能否更換,,,1,,待確認,浴缸壞掉
P1,工程,後陽台水路切兩個出口,一個出口供洗地板,,,1,,未處理,
P1,窗簾織品,客房窗簾伸縮桿或窗簾盒,伸縮桿長度需≥140cm,,,1,,取消,2026-08-17確認客房有窗簾軌且結構正常保留
P2,窗簾織品,客廳窗簾,寬260×高220cm,,,1,,未購買,配合新軌道
P2,窗簾織品,臥室窗簾,窗120×135cm；共4間窗戶同尺寸,,,,,未購買,依各房需求
P2,衛浴,主臥浴室浴簾,防水防霉；尺寸依桿位量測後選,,200-600,1,,未購買,詳10-主臥浴室規劃.md
P2,衛浴,主臥浴室浴簾桿,建議免鑽伸縮桿；先量淋浴區跨距,,200-500,1,,未購買,
P2,衛浴,主臥浴室置衣架,門後掛式或立式依空間選,,300-1000,1,,未購買,放換洗衣物
P2,衛浴,主臥浴室馬桶上方置物壁櫃,馬桶上方牆面寬度/高度待量,,800-2500,1,,未購買,取代原「加層架」構想；確認磁磚牆能否鑽孔
P2,衛浴,主臥浴室刮水刀,,,100-300,1,,未購買,刮牆面地面積水
P2,衛浴,主臥浴室擦水巾（大條）,大條,,200-400,2,,未購買,兩條輪流替換
P2,衛浴,主臥浴室門口地墊（大塊）,吸水快乾款,,400-1000,2,,未購買,兩塊輪流替換
P2,電器,窗型冷氣,每間臥室皆有窗型冷氣口,,,,,待評估,決定要裝幾間
P2,電器,公共區域燈罩,先問饅頭,,,,,待確認,
P3,電器,烘衣機,放前陽台；需從冷氣窗接電,,,1,,待評估,前陽台無電源
P3,家具,餐廳電器櫃,空間寬約185cm,,,1,,待評估,
P3,家具,客廳餐廳間L型隔間/檯面,約112×90cm（尺寸待確認）,,,1,,待確認,原紀錄不完整
,整理,書房木桌撤掉,,,,1,,未處理,搬運/丟棄方式待定
P1,電器,主臥冷氣 聲寶 AU-JF28DC1/AM-JF28DC1,4-6坪 一級變頻冷暖分離式（主臥5.6坪適用）,https://www.momoshop.com.tw/product/15168605,17900,1,momo購物網,預設購買,限時價17900/市售23900；含標準安裝、保固7年；每台可退稅1600
P1,電器,書房冷氣 聲寶 AU-JF22DC1/AM-JF22DC1,3坪 一級變頻冷暖分離式（書房3.3坪）,https://www.momoshop.com.tw/product/15055635,15900,1,momo購物網,預設購買,限時價15900/市售20900；含標準安裝、保固7年；滿1件折3000每人限購1組；每台可退稅1600
P1,電器,多功能間冷氣 聲寶 AU-JF22DC1/AM-JF22DC1,3坪 一級變頻冷暖分離式（多功能間4.4坪）,https://www.momoshop.com.tw/product/15055635,15900,1,momo購物網,預設購買,同書房型號；房間4.4坪略大於適用坪數；每台可退稅1600
P1,電器,客房冷氣 聲寶 AU-JF22DC1/AM-JF22DC1,3坪 一級變頻冷暖分離式（客房3.8坪）,https://www.momoshop.com.tw/product/15055635,15900,1,momo購物網,預設購買,同書房型號；每台可退稅1600
,搬運,主臥床架+床墊（舊宿舍移入）,長235×寬190cm,,0,1,自有,未處理,不需購買；安排搬運日期
P1,家具,客房雙人床墊 H&D東稻家居5尺獨立筒,152×188cm 高21cm 中鋼獨立筒,https://www.momoshop.com.tw/product/355023,2609,1,momo購物網,預設購買,促銷價2609/市售5599
P1,家具,客房雙人床架 ASSARI 5尺實惠型床底座,5尺152×188cm 低甲醛F3板材,https://www.momoshop.com.tw/product/14470576,557,1,momo購物網,預設購買,限時93折557/促銷599/市售1580；免組裝送到府
,搬運,書房書櫃（舊家移入）,高185×寬80×深45cm,,0,1,自有,未處理,不需購買；安排搬運日期
P1,家具,書房單人床墊 簡約家居抗菌乳膠層可折疊,配現有單人床架；下單前量床架內徑選尺寸,https://www.momoshop.com.tw/TP/TP0003606/goodsDetail/TP00036060000001,868,1,momo購物網,預設購買,促銷868~1918依尺寸選項
P1,家具,主臥衣櫃 HOPMA美背機能加大三門二抽,寬90/120版本待確認 約深48高180,https://www.momoshop.com.tw/product/5864625,2999,2,momo購物網,預設購買,2999/個；兩個並排需牆面約240cm已確認放得下；避開窗與壁癌牆
P1,電器,前陽台乾衣機 Panasonic NH-80RZ-W 8公斤,機身約寬63×深50cm待確認,https://www.momoshop.com.tw/product/13743404,9351,1,momo購物網,預設購買,限時9351/市售10990；含標準安裝；前陽台無電源需從冷氣窗接電
P1,窗簾織品,IKEA VIDGA 上牆式雙軌軌道組,含2×140cm軌道；客廳2組拼280＋主臥/書房各1,https://www.ikea.com.tw/zh/products/window-solutions/curtain-rods-rails-and-accessories/vidga-spr-49428265,1493,4,IKEA,預設購買,多功能間與客房保留舊軌不裝（2026-08-17）；書房原本無窗簾軌直接新裝（只掛單層遮光）；雙軌滑輪好拉
P1,窗簾織品,IKEA MAJGULL 遮光窗簾2件裝 145×250,完全遮光含織帶；客廳2包＋小窗2包,https://www.ikea.com.tw/zh/products/window-solutions/curtains-and-window-panels/majgull-art-10417814,1299,4,IKEA,預設購買,客廳雙包2倍蓬度；多功能間/客房掛舊軌改用傳統窗簾鈎
P1,窗簾織品,IKEA SILVERLÖNN 白紗簾2件裝 145×250,含織帶可直掛滑鉤；客廳2包＋主臥1包（用1片備1片）,https://www.ikea.com.tw/zh/products/window-solutions/curtains-and-window-panels/silverlonn-art-40491039,799,3,IKEA,預設購買,2026-08-17定案：雙層僅客廳與主臥；書房/多功能間/客房單層遮光不掛紗
P1,窗簾織品,IKEA VIDGA 滑動鉤24件裝,,https://www.ikea.com.tw/zh/products/window-solutions/curtain-rods-rails-and-accessories/vidga-art-00483003,99,6,IKEA,預設購買,配VIDGA軌道（客廳＋主臥/書房）；隔間簾另加1包
P1,窗簾織品,傳統窗簾鈎（四爪鉤）,配MAJGULL織帶；多功能間＋客房舊軌用,,100-300,1,,未購買,約4片簾用量；舊軌為滑車孔（2026-08-17確認）四爪鉤適用
P2,窗簾織品,IKEA VIDGA L型隔間軌道組,3×140cm＋轉角件；天花板裝；裁112＋90cm；高度暫估3m,https://www.ikea.com.tw/zh/products/window-solutions/curtain-rods-rails-and-accessories/vidga-spr-19428243,1792,1,IKEA,預設購買,隔間簾布款待選；簾最長250cm三米高會離地50cm
P2,窗簾織品,L型隔間簾 IKEA MAJGULL 遮光2件裝 145×250,L總長202cm一包足夠,https://www.ikea.com.tw/zh/products/window-solutions/curtains-and-window-panels/majgull-art-10417814,1299,1,IKEA,預設購買,遮光款隔間效果佳；可改白紗SILVERLONN 799；滑動鉤加1包
